Gene_Hugo_Symbol,Entrez_Gene_Id
C10orf112,0
MRPS31,10240
NLGN3,54413
TNFSF13,8741
RPS17,6218
HSDL2,84263
PSPN,5623
NKX6-1,4825
ST3GAL2,6483
TBC1D4,9882
RHBDD3,25807
MTR,4548
CHRM2,1129
RPS10-NUDT3,100529239
LSMEM1,286006
TULP4,56995
LENG8,114823
PFDN4,5203
LPAR2,9170
MRPS16,51021
CASP3,836
FAM102B,284611
ENPP2,5168
RHBDF2,79651
VTN,7448
KIF5B,3799
ST6GALNAC5,81849
PSMB7,5695
UBE2H,7328
ASB11,140456
PHF6,84295
NUDCD1,84955
CAPZA2,830
ARHGAP29,9411
AGTR1,185
FAM72C,0
WDR66,144406
RCAN2,10231
CLEC4E,26253
NTN3,4917
SEPN1,57190
ST14,6768
CIAPIN1,57019
RBMS3,27303
EIF3E,3646
SDAD1,55153
ACVRL1,94
MAP3K4,4216
HIST1H2BL,8340
TARS2,80222
PUS7,54517
ZNF132,7691
DPF1,8193
RMI2,116028
C6orf10,10665
ZNRD1,30834
IGSF10,285313
PCDHGA9,56107
ANKRD7,56311
MTCH2,23788
FOSB,2354
KCNJ14,3770
JPH2,57158
CRIP2,1397
PALMD,54873
GINM1,116254
APOBEC3C,27350
CYP24A1,1591
IGFALS,3483
ZNF705A,440077
CCT4,10575
BEND7,222389
CXorf36,79742
LRRC46,90506
RPL35A,6165
C5orf55,116349
FOXA2,3170
MSI2,124540
RPL21,6144
TRUB2,26995
EVC,2121
CEP57L1,285753
ENTPD1,953
EXOSC2,23404
UTP6,55813
SH3YL1,26751
SORBS1,10580
MTMR2,8898
NOC2L,26155
MT-ND1,4535
MAP3K7,6885
VWA3A,146177
STEAP1,26872
PIK3C2A,5286
DNM2,1785
CYTH1,9267
FAM195B,348262
RNF8,9025
ALMS1,7840
TRIQK,286144
P2RX4,5025
NKX3-2,579
ACTN1,87
C15orf61,145853
CD80,941
OFCC1,266553
AL078585.1,0
ACTR1A,10121
TRNP1,388610
C9orf66,157983
VAV3,10451
PGLYRP1,8993
NEK7,140609
RNF4,6047
HTR2C,3358
ASB6,140459
CX3CR1,1524
AIMP2,7965
KCNQ1,3784
C19orf52,90580
CCSER2,54462
LITAF,9516
SLC43A3,29015
CNGA4,1262
OXGR1,27199
DDX39B,7919
ZNF436,80818
FH,2271
ICAM3,3385
MSANTD1,345222
DRD2,1813
DGKA,1606
PFDN5,5204
PLBD1,79887
TNFAIP1,7126
CCR4,1233
CHRAC1,54108
LRRN1,57633
ZNF695,57116
P2RY12,64805
KHDRBS1,10657
KRT6A,3853
CCDC91,55297
SMTNL2,342527
GINS4,84296
BMP7,655
CPQ,10404
MRPL30,51263
CXCL3,2921
TMEM66,51669
TACC2,10579
C2orf49,79074
RSU1,6251
CTD-2021H9.3,0
SCAND3,114821
EXOSC6,118460
UBE2F,140739
RASSF5,83593
PPP3CA,5530
APOL6,80830
KANSL3,55683
DAPK1,1612
LAMA5,3911
GJB6,10804
FAM155B,27112
PTPRF,5792
USP31,57478
RASEF,158158
PLA2G10,8399
FAM181B,220382
GPRC6A,222545
C3orf49,0
SPATS2L,26010
AHI1,54806
CXCL12,6387
LINC00908,0
EMG1,0
LPL,4023
IL12RB1,3594
EZR,7430
LSR,51599
TM7SF3,51768
PCDH17,27253
POLR3K,51728
CPVL,54504
MMP7,4316
WDR74,54663
ZP3,7784
KBTBD3,143879
SWI5,375757
GRWD1,83743
FAM81B,153643
EMP2,2013
MAT1A,4143
HPDL,84842
FBXO8,26269
PARP16,54956
ST6GALNAC4,27090
CLEC3B,7123
LRRC29,26231
HMMR,3161
CYP2W1,54905
AC114494.1,0
FBXO43,286151
PLEKHH2,130271
FXYD3,5349
FCER1A,2205
NCK1,4690
DSN1,79980
CD247,919
RAB37,326624
THUMPD2,80745
HVCN1,84329
LMX1B,4010
SFTPA1,653509
CA8,767
RPL38,6169
RNF215,200312
STAR,6770
SLC16A11,162515
PLEKHN1,84069
KIF18A,81930
IL17RC,84818
RC3H1,149041
PTDSS1,9791
TMEM115,11070
QDPR,5860
FITM1,161247
FABP4,2167
ZNF514,84874
MMP17,4326
MLH1,4292
VRK1,7443
ZNF717,100131827
FAM13B,51306
FMNL1,752
MGST3,4259
DDX41,51428
ZXDB,158586
C3orf35,339883
SH3PXD2A,9644
MAGEF1,64110
NOB1,28987
TSC22D1,8848
CELF5,60680
NUTF2,10204
LRRC69,100130742
SMARCC1,6599
DCUN1D4,23142
C10orf118,55088
RGL4,266747
C9orf116,138162
CTNND2,1501
RBKS,64080
B4GALT2,8704
LRRC2,79442
POTEM,641455
LHX6,26468
DSC1,1823
MEA1,4201
SLC46A2,57864
C6orf201,404220
ZHX1-C8ORF76,100533106
ZNF33B,7582
HSD17B12,51144
CACNA2D3,55799
PDSS1,23590
MYCL,4610
ITIH5,80760
PLTP,5360
RAB41,347517
FBN2,2201
WSCD1,23302
MCF2L2,23101
MSANTD2,79684
RASA4B,100271927
TAF7L,54457
NPSR1,387129
YTHDC2,64848
SLC25A45,283130
TLE6,79816
GAL3ST4,79690
GNMT,27232
CLEC7A,64581
FAM177A1,283635
SND1,27044
KCNC1,3746
TNK1,8711
RP11-830F9.6,0
PDE1B,5153
BYSL,705
SPTBN5,51332
HOXC13,3229
SPATA19,219938
ZNF273,10793
MAP1LC3B2,643246
RAB11FIP3,9727
MAST4,375449
CYYR1,116159
PLEKHB2,55041
KIAA1462,57608
SGK3,23678
C11orf52,91894
EIF6,3692
EPC1,80314
DIS3,22894
NELFE,7936
TSKU,25987
AOC2,314
TTC39C,125488
SLC29A3,55315
MVB12B,89853
FUT11,170384
VPS51,738
PKP1,5317
PPP1R14A,94274
CDKN2A,1029
MCM8,84515
HSPA9,3313
DNAJB11,51726
PRKDC,5591
MLF1IP,0
UNC119,9094
FGF18,8817
NRBP1,29959
CRYL1,51084
KRT6B,3854
CST9,128822
METAP1,23173
TMEM80,283232
SAPCD2,89958
A2ML1,144568
LEPR,3953
PDGFRB,5159
HIST1H4J,8294
USH2A,7399
EXOC8,149371
CTB-133G6.1,0
SYNPO2L,79933
RALGPS1,9649
C12orf54,121273
ACSL3,2181
ZNF215,7762
MSRB3,253827
QSOX2,169714
PCCA,5095
GABARAPL3,0
FOXRED1,55572
ITPR1,3708
ZHX3,23051
DUT,1854
SSTR1,6751
RDH16,8608
PPP1R9A,55607
MORC4,79710
PI4K2A,55361
RMI1,80010
SLC27A3,11000
PGGT1B,5229
TSC22D3,1831
PHF11,51131
MPLKIP,136647
HN1,51155
OMD,4958
ATAD3C,219293
PDE4DIP,9659
SIGIRR,59307
ZNF594,84622
C1orf173,127254
MBNL1,4154
STX2,2054
MRPS30,10884
LIMS3L,96626
GYPC,2995
PROS1,5627
PSKH1,5681
TSPYL1,7259
ERGIC1,57222
TSPAN13,27075
IL4,3565
GPR146,115330
ATE1,11101
GPC2,221914
H2AFY2,55506
GLCCI1,113263
NARF,26502
SPATA5L1,79029
MPHOSPH8,54737
PPP1R2,5504
RAD1,5810
PDSS2,57107
MAP4,4134
LDHD,197257
RASAL1,8437
C5orf56,0
FBXL2,25827
MPDZ,8777
GOSR2,9570
CENPL,91687
C21orf128,0
DHX57,90957
VMP1,81671
KDR,3791
FAM111B,374393
NME1,4830
SERTM1,400120
SPRR2E,6704
KCNQ5,56479
MLIP,90523
PGS1,9489
MARCH1,55016
KCNH1,3756
TMEM8C,389827
IVNS1ABP,10625
WDR83OS,51398
TCIRG1,10312
NLE1,54475
TIGD7,91151
LYN,4067
MYOM3,127294
C1orf123,54987
RASSF8,11228
MBOAT7,79143
DKK4,27121
NGLY1,55768
ST8SIA4,7903
TBC1D12,23232
DNAJC11,55735
PBDC1,51260
FILIP1L,11259
SKA2,348235
GZMB,3002
WDR11,55717
MYPOP,339344
PDCD2L,84306
ASB5,140458
ITSN2,50618
FAXDC2,10826
PIGX,54965
ANKHD1-EIF4EBP3,54882
PCSK2,5126
GGA3,23163
DNAJC13,23317
GPX1,2876
CTD-3214H19.16,0
DUSP26,78986
ILF2,3608
LYPD3,27076
RPS6KC1,26750
CGB8,1082
TENC1,23371
LGALS9,3965
PDIA3,2923
C9orf16,79095
HOMER2,9455
IL36A,27179
GID8,54994
ZBBX,79740
BRPF1,7862
CCR5,1234
ZNF44,51710
FBXO27,126433
C17orf89,284184
MAGEA2,4101
GNL3L,54552
ALDH3A1,218
FAS,355
CSPP1,79848
NDNF,79625
PARN,5073
DECR2,26063
SMAD9,4093
TOP1MT,116447
LENG1,79165
POLR3F,10621
VAMP3,9341
OR1F1,4992
XKR6,286046
PPBP,5473
CLK3,1198
ERMAP,114625
CDR1,1038
STXBP6,29091
NR2C2AP,126382
C2orf54,79919
PBLD,64081
IKZF1,10320
ODC1,4953
STYXL1,51657
FAM105A,54491
ABCB5,340273
FAM86A,196483
CD81,975
TMX4,56255
NFKBID,84807
REEP2,51308
RNPS1,10921
IYD,389434
BAIAP2,10458
FEZF1,389549
ROBO2,6092
CCNC,892
C17orf99,100141515
MFNG,4242
PNPLA6,10908
DMRTA1,63951
RP2,6102
STIL,6491
FREM1,158326
DBF4,10926
MESDC2,23184
AARD,441376
ZNF626,199777
PPWD1,23398
ZC2HC1C,79696
CD33,945
CLDND2,125875
RAD21,5885
TMED5,50999
TXNDC9,10190
LMAN2L,81562
RNFT2,84900
ART1,417
FERMT3,83706
DUSP8,1850
CTPS1,1503
GADD45G,10912
SYTL2,54843
HSPA14,51182
ABCF2,10061
SZT2,23334
PPP1R3C,5507
PLCH2,9651
CUL2,8453
DNAH11,8701
ARMCX3,51566
TEC,7006
MATN3,4148
KLHL12,59349
GPRIN1,114787
THOP1,7064
TMEM178A,130733
ADRA2B,151
SUPV3L1,6832
PPP1R13L,10848
CABLES2,81928
SEC61G,23480
PSMB5,5693
LIN7C,55327
PARP14,54625
EPS8L2,64787
WIPI2,26100
KLRD1,3824
NOLC1,9221
GCHFR,2644
SPRTN,83932
MYLIP,29116
C16orf71,146562
PNO1,56902
MRPL28,10573
MT-CO1,4512
ALOX5AP,241
MBD6,114785
RRN3,54700
DOPEY1,23033
CLIC3,9022
SSX2IP,117178
SGIP1,84251
TRIM28,10155
CILP2,148113
SLC23A1,9963
TTPA,7274
ZNF763,284390
IPO13,9670
ATP6V1C1,528
ATRIP,84126
C7orf60,154743
ZNF331,55422
CCDC88B,283234
TBX15,6913
PYCR1,5831
GPR126,57211
NFATC2IP,84901
SCN1A,6323
MAP1LC3C,440738
DHX16,8449
SLC6A16,28968
TRIM45,80263
ITGB5,3693
MMP10,4319
HIF1A,3091
CAV2,858
ACYP1,97
FAM110A,83541
PXDC1,221749
MYZAP,100820829
CRLF2,64109
RP11-248J23.6,0
SPACA5,389852
BCAP29,55973
SLC1A4,6509
BTNL8,79908
GAK,2580
UNC5C,8633
MGAT3,4248
TCP11L2,255394
ZNF518B,85460
TFRC,7037
SEPHS1,22929
NIPA2,81614
BEND3,57673
ZNF688,146542
USP40,55230
LATS2,26524
XPC,7508
EIF4A3,9775
CEBPB,1051
PSMG3,84262
TMEM258,746
RARG,5916
FKSG48,0
PPFIBP2,8495
C12orf45,121053
PRAME,23532
ANKH,56172
BNIP2,663
ZWILCH,55055
PIP4K2C,79837
ITGA4,3676
FZD9,8326
GGTLC3,728441
S1PR5,53637
TNRC6B,23112
HLA-DRB1,3123
FCER1G,2207
SYPL2,284612
PFKFB3,5209
NAAA,27163
TRPC3,7222
TMEM53,79639
CXCL5,6374
ZCCHC24,219654
PIK3CB,5291
AC019294.1,0
SGSH,6448
SYNRG,11276
AXIN1,8312
DIAPH1,1729
MRPS23,51649
RAPGEF2,9693
SLC25A17,10478
CPSF2,53981
KCNA5,3741
C10orf76,79591
HSD17B13,345275
CDC7,8317
IKZF5,64376
CABYR,26256
CHD1,1105
GHRL,51738
DDX60L,91351
IP6K1,9807
ERO1L,30001
EXOSC4,54512
C4orf32,132720
KLF11,8462
FBXO33,254170
SNX33,257364
CCL21,6366
ZSWIM6,57688
ZNF329,79673
CD164L2,388611
ARMC6,93436
PIF1,80119
ZNF728,388523
SLBP,7884
POR,5447
EFCAB11,90141
ITPRIPL1,150771
NACC2,138151
C1orf167,0
TLR7,51284
RP11-295P9.3,0
FAM184A,79632
PPP1CA,5499
CLCN2,1181
COL27A1,85301
FAM184B,27146
TRABD2A,129293
C15orf60,283677
ESCO2,157570
PROK1,84432
TMEM206,55248
MSN,4478
PHC3,80012
NCS1,23413
RBM17,84991
TRIM24,8805
OST4,100128731
PRIM1,5557
NAPSA,9476
FAM150B,285016
FCGR1B,2209
ZNF724P,0
POLRMT,5442
C1orf106,55765
CBL,867
EIF2A,83939
SLC40A1,30061
AIM1L,55057
SLC25A46,91137
RAB31,11031
ADM,133
VPS8,23355
SLC51A,200931
DEPDC1,55635
SMKR1,100287482
ALG1L,200810
MGLL,11343
C4orf19,55286
ZNF174,7727
UCK2,7371
FAM83D,81610
NCLN,56926
FDX1,2230
C10orf68,0
LRRC14,9684
ZNF433,163059
TTYH2,94015
MS4A8,83661
CD68,968
MYO3B,140469
TMEM245,23731
LHX5,64211
COL4A5,1287
IGF2BP3,10643
STX5,6811
BZW2,28969
TNRC6C,57690
POLD1,5424
EPS15,2060
SMAD6,4091
CFL2,1073
KCNAB1,7881
GGTLC2,91227
MYLK3,91807
ZNF704,619279
GPSM1,26086
AC132186.1,0
SPATA31A6,389730
DSCAML1,57453
ZCWPW1,55063
SWAP70,23075
CHMP5,51510
UBE4B,10277
DHDH,27294
C20orf27,54976
GTF2A2,2958
RASSF3,283349
CRIM1,51232
C11orf96,387763
TRIM71,131405
ICAM4,3386
GABARAPL1,23710
SULT1A2,6799
ZNF622,90441
ADCK3,56997
PDZRN3,23024
GTF2F2,2963
ZNF259,8882
ABHD5,51099
TRMT5,57570
ZNF619,285267
ACO1,48
NUP88,4927
VIM,7431
IRAK3,11213
CRIPAK,285464
ZNF43,7594
ZIC5,85416
C7orf55-LUC7L2,51631
LRP5,4041
HMHA1,23526
LYG1,129530
RASGRP2,10235
SLC6A5,9152
SLC12A4,6560
VMO1,284013
NOL8,55035
SLC35A4,113829
RP11-480I12.4,0
EIF2S1,1965
ZMYND12,84217
MCM3,4172
DLL4,54567
ALG11,440138
AC027763.2,0
BARD1,580
TBX3,6926
TNK2,10188
BCL2L11,10018
EXTL1,2134
SMARCE1,6605
ZNF793,390927
SLC24A2,25769
LIPT1,51601
ZNF92,168374
CENPK,64105
SLC6A12,6539
CHN2,1124
P2RY13,53829
FXR1,8087
GYG2,8908
CCDC77,84318
GDF11,10220
RP11-345J4.5,0
AC004466.1,0
LEMD1,93273
MAN2B1,4125
KIAA1522,57648
GATA2,2624
ZNF365,22891
TOX,9760
SIX2,10736
DNAJC8,22826
APOH,350
FFAR4,338557
THEMIS2,9473
MED7,9443
FBXO7,25793
COX16,51241
C14orf28,122525
AC020922.1,0
CHPF,79586
NDUFAF6,137682
OPTN,10133
CLSTN1,22883
RBM12,10137
NRG4,145957
SLC6A6,6533
AK2,204
FRAT2,23401
POMGNT2,84892
NDRG2,57447
TUBB4A,10382
CNOT2,4848
SEC61A1,29927
ARPC4,10093
C11orf16,56673
UCHL3,7347
IQSEC2,23096
ATIC,471
MOV10,4343
C16orf13,84326
ATP5G3,518
NDST2,8509
GPR144,0
GPR156,165829
SLC16A4,9122
C2orf73,129852
GZMM,3004
JDP2,122953
SNRPN,6638
C6orf211,79624
ENTPD2,954
ZNF623,9831
GDF3,9573
CBX8,57332
HEXIM2,124790
QTRT1,81890
RMDN2,151393
PTCRA,171558
SAFB,6294
HCFC1,3054
REXO4,57109
APMAP,57136
RP11-155D18.14,0
NPW,283869
NR2F1,7025
AL603965.1,0
AC104667.3,0
PLRG1,5356
CACNB4,785
ERAP2,64167
NKIRAS2,28511
PLCD4,84812
MAP3K11,4296
OR6C70,390327
BZRAP1,9256
PRKRA,8575
PIGS,94005
TM4SF18,116441
ZNF567,163081
CD36,948
HMCN1,83872
TSPAN19,144448
MMP14,4323
FBF1,85302
SMPD3,55512
HIST1H4B,8294
KLRF1,51348
C1orf213,148898
FAM178A,55719
DOCK3,1795
PITX1,5307
DNMT3B,1789
C2orf43,60526
LRRC61,65999
RIPK1,8737
GPR111,222611
CTD-3105H18.14,0
FAM174A,345757
PSMD8,5714
CCDC66,285331
ANAPC5,51433
DMRT2,10655
PPT1,5538
SYCE2,256126
KCNK9,51305
GSTZ1,2954
PRDM5,11107
MTMR4,9110
RP11-507M3.1,0
RTCB,51493
IL36G,56300
FUS,2521
TAF5,6877
PNPLA8,50640
AKR1B15,441282
CILP,8483
C7orf63,79846
HSPH1,10808
PRPF38B,55119
FRMD7,90167
KCTD5,54442
ZNF396,252884
C1QTNF6,114904
PAQR8,85315
BLOC1S4,55330
TPRN,286262
CCL14,6358
VWC2L,402117
LSM4,25804
DKFZP434H0512,0
C7orf76,401388
DKC1,1736
OSGEP,55644
OR2C1,4993
ANKRD32,84250
PSMD7,5713
ZNF37A,7587
ANKS1B,56899
ZNF202,7753
SLC25A24,29957
CYTH4,27128
FAM161A,84140
CERCAM,51148
B3GNT4,79369
TNFRSF10D,8793
AES,166
FAM189A1,23359
PPM1G,5496
PGF,5228
C9orf24,84688
BBS9,27241
PARM1,25849
METTL21A,151194
CUL4B,8450
DEXI,28955
ALPL,249
PCTP,58488
HAUS7,55559
TRPV3,162514
SNRPD1,6632
TMSB15B,11013
RP11-863K10.7,0
TMCC3,57458
SNURF,8926
GPR97,222487
METTL7A,25840
RP11-690P14.4,0
AC109829.1,0
CTSZ,1522
RBM43,375287
TIMMDC1,51300
WFIKKN1,117166
ZXDA,7789
AGRP,181
MGMT,4255
OSCAR,126014
SULT1C2,6819
TBL2,26608
CCDC178,374864
HMGB2,3148
PPP1R7,5510
ZC3H6,376940
RIN1,9610
HAGH,3029
FANCE,2178
KLK13,26085
CRLS1,54675
FERMT1,55612
FAM209B,388799
STX3,6809
PPP3CB,5532
SCAMP3,10067
KBTBD6,89890
CCDC108,255101
TNNT1,7138
HRCT1,646962
G0S2,50486
GNA11,2767
EIF5AL1,143244
ZNF48,197407
COL16A1,1307
RETSAT,54884
IARS,3376
COASY,80347
ACSM3,6296
KDM1A,23028
LRRC1,55227
C4orf45,152940
CYP2S1,29785
PDK4,5166
C9orf163,158055
CSRP1,1465
PPP2R3A,5523
NPAS2,4862
PIK3C2B,5287
TMEM212,389177
FGD1,2245
GVQW1,0
ANP32B,10541
DHRS4,10901
IL6ST,3572
HHATL,57467
KIAA1217,56243
AFAP1L1,134265
PPP1R16B,26051
MRTO4,51154
NBR1,4077
JUP,3728
ZNF496,84838
DENND2C,163259
ARHGEF10,9639
CSF3,1440
ZNF581,51545
BLOC1S1,2647
HOMEZ,57594
BTG3,10950
RRP7A,27341
HERPUD1,9709
NOL10,79954
ECI2,10455
SIGMAR1,10280
DHRS7,51635
MICU3,286097
NME3,4832
OSER1,51526
PILRA,29992
SAMD5,389432
ARHGAP11B,89839
HECTD3,79654
MMS22L,253714
YJEFN3,374887
CASKIN1,57524
EPHA1,2041
MARC2,54996
MIDN,90007
PEF1,553115
ARL4C,10123
SLIT2,9353
C9orf69,90120
TBC1D28,254272
ADD2,119
MTCH1,23787
MTX1,4580
SETD6,79918
GABRA5,2558
IKBKE,9641
PLEK2,26499
RAB34,83871
AHNAK2,113146
SELP,6403
TMEM179B,374395
CDKN2AIPNL,91368
CLDN17,26285
PANX2,56666
FGD2,221472
ARMC9,80210
TSSC1,7260
ACD,65057
BBOX1,8424
OSBPL5,114879
NDUFAF7,55471
ARHGAP10,79658
MN1,4330
DHRS13,147015
UBXN2B,137886
USP16,10600
HMGXB4,10042
GPT2,84706
C1orf101,257044
LEPREL1,55214
TMEM61,199964
ONECUT2,9480
ZNF81,347344
KRT222,125113
FAM160A1,729830
SOAT1,6646
STAT3,6774
NEK5,341676
PXMP2,5827
OTC,5009
OSCP1,127700
NFKBIZ,64332
PTPRS,5802
PDS5B,23047
TPD52L2,7165
QTRTD1,79691
PCBD1,5092
KCTD16,57528
IER5L,389792
DECR1,1666
C6orf118,168090
ZFP69,339559
C1orf210,149466
IFIT1B,439996
HIST1H3C,8350
USH1G,124590
WDR52,55779
RPS2,6187
TGM5,9333
ACN9,57001
CLDN12,9069
SUSD1,64420
ZNF445,353274
GLI4,2738
PLCG2,5336
ANXA7,310
MAP4K4,9448
LINS,55180
DHTKD1,55526
RP11-10A14.4,0
SYNM,23336
CTTNBP2NL,55917
TPRKB,51002
LSM5,23658
MT-ND5,4540
CD40,958
GRAMD1A,57655
C2CD4D,100191040
UBE2J2,118424
TCAP,8557
CCDC125,202243
CALML3,810
CNTROB,116840
PRKCB,5579
PDE4D,5144
C1orf65,164127
CGRRF1,10668
TOMM6,100188893
MLF2,8079
IDI1,3422
IPO11,51194
IL23R,149233
FBXO22,26263
AK8,158067
NLRP1,22861
CADM1,23705
DUOX1,53905
FLT4,2324
COX6A1P2,0
ZFP3,124961
MAK,4117
RPN2,6185
TMEM203,94107
C14orf37,145407
MRPL55,128308
ADRA1B,147
ARHGEF10L,55160
PEX13,5194
CCDC101,112869
KCNA10,3744
PGAP3,93210
UBLCP1,134510
LIPN,643418
MYH10,4628
FAXC,84553
C14orf166,51637
BDH2,56898
CRYZL1,9946
ABCC6,368
RUVBL2,10856
WIF1,11197
PLCL2,23228
TNXB,7148
TANGO2,128989
PRICKLE3,4007
FTSJ3,117246
USP42,84132
